proper names,NEC+,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Language,Reference,Date of Adoption,image,image_source,RA,DEC,mag
Tianbian,"7,010",HR 6973,91117,α Sct,Tianbian,Sct,"Tiān Biàn (Market Officer, 天弁) is a traditional Chinese asterism close to the Celestial Market super-constellation. It literally means “Celestial Cap"" and describes a ceremonial headgear. The name is attested since around 100 BCE. WGSN represents it by its determinative star.",Chinese,see ASE,2026/06/18,,,278.8017798,-8.244070511,3.83
Telum,"7,616",HR 7635,98337,γ Sge,Telum,Sge,"Telum, the Dart, has been used as an alternative name for Sagitta in European literature of the past millennium (e.g. Dürer 1515, Uranometria 1603, Kepler 1627). WGSN applies the name to the brightest star of the asterism.",Latin,see ASE,2026/06/18,,,299.6892843,19.49214613,3.47
Shakh,"7,485",HR 7488,96837,β Sge,Shakh,Sge,"ŠAḪ, Pig, is a Sumerian constellation attested in MUL.APIN (dating between 1350 and 1150 BCE). The two stars Alpha and Beta Sagittae look like the nose of the Mesopotamian constellation The Pig. WGSN applies the name to Beta.",Sumerian,see ASE,2026/06/18,,,295.2622456,17.47604241,4.38
Zuoqi,"7,527",HR 7536,97365,δ Sge,Zuoqi,Sge,"Zuŏ Qí (Left Flag, 左旗) is a Chinese asterism consisting of nine stars and attested for more than 2000 years. It belongs to the super-constellation of flags and drums as signal transmitter.  WGSN represents it by its determinative star.",Chinese,see ASE,2026/06/18,,,296.84694,18.53431357,3.81
Guqi,"7,381",HR 7377,95501,δ Aql,Guqi,Aql,"Gŭ Qí (Drum Flag, 鼓旗) is a Chinese asterism consisting of nine stars that originated no later than about 100 BCE. It forms a super-constellation with Hé Gŭ (River-Drum) and Zuŏ Qí (Left Flag), as drums and flags were used to transmit signals.",Chinese,see ASE,2026/06/18,,,291.3745891,3.11477947,3.36
Arin-majlep,"7,205",HR 7176,93244,ε Aql,Arin-majlep,Aql,"Arin-majlep, the ""replica of the Big Eye"", with the Big Eye referring to Altair, is the name of a small asterism of three stars in a row: ε, ζ, and ω Aql. WGSN named ε Aql after it.",Marshallese,see ASE,2026/06/18,,,284.9056516,15.06828104,4.02
Pagru,"7,571",HR 7570,97804,η Aql,Pagru,Aql,"Akkadian Pagru, ""body"" or ""corpse,"" is commonly translated ""The Dead Man"", attested as a constellation in MUL.APIN which dates between 1350 and 1150 BCE, and has been used through the entire 1st millennium BCE.",Akkadian,see ASE,2026/06/18,,,298.1182038,1.005658883,3.8
Hru,"7,467",HR 7474,96665,σ Aql,Hru,Aql,"Hru or Ru means Arrow. The term derives from Sanskrit, but is used as a constellation on the Island of Bali for at least 1300 years.",Sanskrit,see ASE,2026/06/18,,,294.79851,5.397772218,5.17
Pongaponga,"7,067",HR 7051,91919,ε1 Lyr A,Pongaponga,Lyr,Pongaponga (“nostrils”) is a star name from the island of Pukapuka (South Pacific) for the visual double star ε1 (4) Lyr and ε2 (5) Lyr. WGSN applies the name to ε1 Lyr A.,Cook Is. Maori,see ASE,2026/06/18,,,281.0847656,39.67012917,4.991
Niandao,"7,161",HR 7157,92862,13 Lyr,Niandao,Lyr,"Niăn Dào (Imperial Passageway, 辇道) is a private way for the emporer for harmonious journeys. WGSN represents it by its determinative star.",Chinese,see ASE,2026/06/18,,,283.8337597,43.94608958,4
Kautoki,"7,071",HR 7056,91971,ζ1 Lyr,Kautoki,Lyr,"The name means ""handle (kau) of the adze (toki)"" and describes an asterism from the Polynesian island of Kapingamarangi.",Kapingamarangi,see ASE,2026/06/18,,,281.1931545,37.60512165,4.36
Urquchillay,"7,072",HR 7057,91973,ζ2 Lyr,Urquchillay,Lyr,"Urquchillay, the Llama of Many Colors, is the name of the Inka god of livestock and wildlife; it was the protector of animal. Its constellation covers large areas of Lyra; WGSN adopts the name for a star close the the god's heart.",Quechua,see ASE,2026/06/18,,,281.2008299,37.5945996,5.585
Jiantai,"7,151",HR 7139,92791,δ2 Lyr,Jiantai,Lyr,"Jiàn Tái (Clepsydra Terrace, 渐台) is a Chinese constellation of 4 stars, a symbol of astronomical timekeeping and musical pitch calibration.",Chinese,see ASE,2026/06/18,,,283.6261779,36.89861991,4.3
Ninnisig,"7,317",HR 7314,94713,θ Lyr,Ninnisig,Lyr,"Ninnisig and Erragal are two Sumerian gods associated with the pair of stars, Ninnisig is the goddess who is butcher of the highest temple (name honours a profession).",Sumerian,see ASE,2026/06/18,,,289.0920557,38.13374205,4.38
Yaqana,"6,136",HR 6115,80582,ε Nor,Yaqana,Nor,"Yaqana is a mother llama and forms a super-constellation with Uñallamacha, the baby llama. They rise in the sky when baby llamas are born on Earth.",Quechua,see ASE,2026/06/18,,,246.7960067,-47.55479365,4.521
Moth,"10,145",HD 61005,36948,,Moth,Pup,"The star has a surrounding nebula and circumstellar disk, creating the appearance of a moth.",English,see ASE,2026/06/13,,,113.9477598,-32.20390141,8.22
Butterfly Star,"10,146",IRAS 04302+2247,,,Butterfly Star,Tau,"The YSO was nicknamed ""Butterfly"" in 1997 because of the shape of its infrared image in Lucas and Roche (1997), who announced it as ""a butterfly in Taurus"".",English,see ASE,2026/06/13,,,68.318754,22.889,K
Dust-Ball,"10,147",V* V927 Per,,,Dust-Ball,Per,"In infrared, the star V927 Per looks embedded into a dusty nebula with bow shocks; the unresolved fuzziness caused the nickname.",English,see ASE,2026/06/13,,,56.21102545,32.31846274,11.22
Flying Saucer,"10,148",2MASS J16281370-2431391,,,Flying Saucer,Oph,The star 2MASS J16281370-2431391 is invisible and got the name in 2008 becaus of its edge-on disk of large grains (dust or debris).,English,see ASE,2026/06/13,,,247.057072,-24.5277349,G 21.018826
Necklace,"10,149",IRAS 19417+1701,,,Necklace,Sge,"The star is the central star of a planetary nebula, nicknamed The Necklace Nebula (Sabin 2010). the binary shows eqautorial and polar outflow causing a knotted ring structure which led to the name.",English,see ASE,2026/06/13,,,295.9979644,17.15026772,G 17.694447
Peony Star,"10,150",WR 102ka,,,Peony Star,Sgr,The nebula of this WN star seems to look like a peony flower.,English,see ASE,2026/06/13,,,266.5755,-29.02683,K
Rosette Eye,"10,151",RAFGL 961,,,Rosette Eye,Mon,"To the discoverers, the nebula around this star looked like a cat eye in the Rosette Nebula, so they nicknamed it the ""rosette eye"".",English,see ASE,2026/06/13,,,98.657256,4.212277,K
Southern Crab,"10,152",WRAY 16-147,,,Southern Crab,Cen,"The ""southern crab"" is easily visible in the structure of this PN around this star and therefore nicknamed in the popular French magazin ""Ciel et Espace"" in 2008.",English,see ASE,2026/06/13,,,212.9669185,-51.44005198,14.2
Beehive Proplyd,"10,153",HH 540,,,Beehive Proplyd,Ori,Infrared photographs of the outlayers of the Great Orion Nebula M42 show a structure around this Herbig Haro Object that resembles a beehive.,English,see ASE,2026/06/13,,,83.825,-5.5167,X
Frosty Leo,"10,154",IRAS 09371+1212,,,Frosty Leo,Leo,"Frosty Leo is the name of the post-AGB star IRAS 09371+1212 in constellation Leo. It is ""an icy evolved, mass-losing star with a unique IR spectrum"" (1987).",English,see ASE,2026/06/13,,,144.97483,11.98128,10.97
Speedy Mic,"10,143",HD 197890,102626,,Speedy Mic,Mic,"The variable star V* BO Mic is a red (K-type) flare star with outbursts of high energy (X-ray, UV) and an extraordinarily rapid rotation: its radius equaling that of our Sun, it completes a rotation in 0.38 days (instead of 25).",English,see ASE,2026/05/09,,,311.9375234,-36.59465829,9.337
Red Rectangle,"10,144",HD 44179,30089,,Red Rectangle,Mon,"The binary system V777 Mon is embedded in a bipolar nebula that made the star look like a rectangle in the first infrared images in 1973. The object was considered peculiar and nicknamed ""red rectangle"" in a 1975 paper.",English,see ASE,2026/05/09,,,94.99257729,-10.63741835,9.33
Nüchuang,"6,438",HR 6418,84380,π Her,Nuchuang,Her,"Nǚ Chuáng (Women’s Bed, 女床)  is a small asterism consisting of only three stars that dates back to around 100 BCE and belongs to the Shi school.",Chinese,see ASE,2026/05/14,,,258.7618094,36.80916155,3.18
Tianji,"6,217",HR 6212,81693,ζ Her,Tianji,Her,"Celestial Discipline, 天紀, is an ancient Chinese asterism of nine stars first recorded in the Western Han Shishi xingjing (Master Shi’s Star Canon, 石氏星經).",Chinese,see ASE,2026/05/14,,,250.3215043,31.6027187,2.8
Asuusiha,"6,094",HR 6092,79992,τ Her,Asuusiha,Her,"Asu Usiha (Manchu: ᠠᠰᡠ ᡠᠰᡳᡥᠠ, Net Stars), a Manchu shamanic constellation. It represents a hunting net to capture sables.",Manchu,see ASE,2026/05/14,,,244.9351533,46.3133617,3.87
Khepdenreret,"6,351",HR 6324,83207,ϵ Her,Khepdenreret,Her,"Khepdenreret, the Buttocks of the Hippopotamus (goddess) Reret, is a star name from ancient Egypt documented in the Ramesside Star Clocks from around 1200 BCE",Egyptian,see ASE,2026/05/14,,,255.072389,30.92640423,3.92
Aurwandilsta,"5,971",HR 5971,78493,ι CrB,Aurwandilsta,CrB,"Aurvandils tá, Aurvandill's Toe, is a Norse constellation from Iceland, documented in Snorri's Edda from the 13th century CE.",Norse,see ASE,2026/05/14,,,240.3606872,29.85106095,4.971
Baltesha,"5,854",HR 5849,76952,γ CrB A,Baltesha,CrB,"(MUL.)BAL.TEŠ2.A (𒀯𒁄𒌨𒀀), the Asterism of Dignity, is an ancient Sumerian constellation in CrB.",Sumerian,see ASE,2026/05/14,,,235.6857056,26.29563438,4.05
Matrichakra,"5,891",HR 5889,77512,δ CrB,Matrichakra,CrB,"Mātrīcakra, The Circle (मातृचक्र), is an Indian name for CrB; the Sanskrit term occurs on historical globes and astrolabes.",Sanskrit,see ASE,2026/05/14,,,237.3985292,26.06839286,4.63
Guansuo,"5,782",HR 5778,76127,θ CrB A,Guansuo,CrB,"Guàn Suǒ (Coiled Thong, 贯索), a Chinese constellation of 9 stars in CrB. It resembles a string threaded through a series of copper coins, attested since ancient times.",Chinese,see ASE,2026/05/14,,,233.2324295,31.3591431,4.3
Stephanos,"5,861",HR 5855,77048,π CrB,Stephanos,CrB,"Στέφανος, The Wreath, is the ancient Greek name of CrB. It can represent either the laurel wreath of an emperor or victorious athlete, or a bridal wreath.",Ancient Greek,see ASE,2026/05/14,,,235.9970806,32.51580592,5.575
Bibing,"1,280",HR 1239,18724,λ Tau,Bibing,Tau,"Bibing (畢柄), The handle of the Net (Lunar Mansion) in the super-constellation of the White Tiger of the West, attested in ancient China for more than 2000 years.",Chinese,see ASE,2026/05/17,,,60.17006989,12.49034444,3.41
Lembu,"1,583",HR 1547,22565,97 Tau,Lembu,Tau,"""Lintang Lěmbu"" means Ox/Bull/Cow Constellation, representing an animal to pull carts & chariots. It is found in the calendar series Palelintangan used for at least 1300 years on the islands of Java and Bali, Indonesia.",Proto-Mon-Khmer,see ASE,2026/05/17,,,72.84359805,18.83985719,5.085
Shakata,"1,446",HR 1407,20877,75 Tau,Shakata,Tau,"Rohiṇīśakaṭa (रोहिणीशकट) is the Cart of Rohini, a deity represented in the star Aldebaran, and one of the nakshatras.  Her cart is traditionally seen in the Hyades star cluster; WGSN represents it by a star within their central area to honour the area's cultural importance.",Sanskrit,see ASE,2026/05/17,,,67.10987462,16.35967495,4.969
Pulcherrima,"5,486",HR 5505,72105,ε Boo B,Pulcherrima,Boo,"The Latin name translates to ""most beautiful"" or ""loveliest,"" referring to its striking, contrasting colors; it was introduced by F. Struve in 1837.",Latin,see ASE,2026/04/15,,,221.2464574,27.07498559,4.801
Maenalus,"5,502",HR 5511,72220,109 Virginis,Maenalus,Vir,"Mons Maenalus is an early modern European constellation or asterism introduced by Hevelius (1690), setting a celestial memorial for a mountain in the central Peloponnese, Greece.",Latin,see ASE,2026/04/15,,,221.562181,1.892883828,3.73
Alrumh,"5,481",HR 5490,71995,34 Bootis,Alrumh,Boo,"Al-Rumḥ (الرُّمْح), the Lance/ Spear, is an Arabic asterism from pre-Islamic times that covers the area between Epsilon, Upsilon, Eta and Sigma Bootis. The named star is close to the dominant Epsilon Bootis, which also forms part of the Chinese constellation of The Lance (Genghe).",Arabic,see ASE,2026/04/15,,,220.8556773,26.52785338,4.79
Genghe,"5,434",HR 5447,71284,σ Bootis,Genghe,Boo,"Gěnghé (Celestial Lance, 梗河) is a Chinese constellation of 3 stars. WGSN named the second star in the line.",Chinese,see ASE,2026/04/15,,,218.6700724,29.74512713,4.47
Kalasungsang,"5,420",HR 5429,71053,ρ Bootis,Kalasungsang,Boo,"On Bali (Indonesia) ""Kala"" means ""demon"" and ""sungsang"" means ""upside down"". Originally, the term is from Sanskrit काल, dark/ death or time. The daemon reminds us not to waste time.","Sanskrit, Javanese",see ASE,2026/04/15,,,217.9574555,30.37143657,3.59
Qigong,"5,673",HR 5681,74666,δ Bootis A,Qigong,Boo,"Qī Gōng (Seven Excellencies, 七公) is a Chinese asterism composed of seven stars; WGSN named the determinative star after the constellation.",Chinese,see ASE,2026/04/15,,,228.8756784,33.31483124,3.49
Tepiamenit,"5,189",HR 5185,67275,τ Bootis,Tepiamenit,Boo,"Menit, The Mooring Post, is an Egyptian constellation, preserved in Ramesside Star Clocks of the 2nd millennium BCE. Tepiamenit is the ""Predecessor of the Pole"" inside Menit.",Egyptian,see ASE,2026/04/15,,,206.8155757,17.45689154,4.49
Stella Ludoviciana,"10,137",HD 116798,,,Stella Ludoviciana,UMa,"The modern Latin name was given to the star in 1722 due to a misinterpreted observation, mistaking it for a planet (name has been in SIMBAD already).",Latin,see ASE,2026/04/17,,,201.2160503,54.89745571,7.58
Sapaki,"10,138",WR 67-1,,,Sapaki,Cir,"The word translates into ""solitary"" which refers to the research find that this Wolf-Rayet star was born in isolation (name has been in SIMBAD already).",Quechua,see ASE,2026/04/18,,,229.1540041,-58.16632917,16.25
Bajamar Star,"10,139",2MASS J20555125+4352246,,,Bajamar Star,Cyg,a star close to the North America Nebula named after an original term for the Bahamas islands (name has been in SIMBAD already).,Spanish,see ASE,2026/04/18,,,313.9635651,43.87346219,13.087
Calvera,"10,140",PSR J1412+7922,,,Calvera,UMi,"This neutron star is named after the villain in the 1960 film The Magnificent Seven, as it was found in 2001 as eighth object of the category of isolated neutron stars that had formerly been called The Magnificant Seven (name has been in SIMBAD already).",fictional,see ASE,2026/04/18,,,213.233858,79.36765,X-ray obj.
Holoea,"10,141",IRAS 05327+3404,,,Holoea,Aur,"The name is Hawaiian for ""flowing gas"", given to this Young Stellar Object because it was discovered with the James Clerk Maxwell Telescope at Mauna Kea, Hawaii (name has been in SIMBAD already).",Hawaiian,see ASE,2026/04/18,,,84.02489466,34.1032964,18.62
Paloma,"10,142",2MASS J05243042+4244506,,,Paloma,Aur,"Paloma, The Dove/ Pigeon, was introduced by a research team in 2007 for this peculiar cataclysmic variable due to its proximity to an SNR that looks like a bird (name has been in SIMBAD already).",Spanish,see ASE,2026/04/19,,,81.12693471,42.74735016,17.114811
Krios,"10,134",HD 240429,,,Krios,Cas,Krios is one of the twelve Titans from Greek mythology. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected (name has been in SIMBAD already).,Greek,see ASE,2026/03/22,,,357.9792861,59.71350024,9.7
Kronos,"10,135",HD 240430,,,Kronos,Cas,Kronos is a Greek god. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected (name has been in SIMBAD already).,Greek,see ASE,2026/03/22,,,358.0385141,59.707367,9.56
Pherkad Minor,"5,686",HR 5714,74793,11 UMi,Pherkad Minor,UMi,One of Piazzi's star names following the schema of naming a faint visual neighbour in reference to the visually more striking star in a constellation.,"Arabic, Latin",see ASE,2026/03/22,,,229.2745394,71.82390204,5.01
Pistol Star,"10,136",V*4647 Sgr,,,Pistol Star,Sgr,A blue supergiant surrounded by a nebula which is the reason for the name (name has been in SIMBAD already).,English,see ASE,2026/03/22,,,266.5635,-28.834328,H 8.92
Ping,"1,674",HR 1654,23685,ε Lep,Ping,Lep,"Píng (屏), the Screen in front of a toilet, is a Chinese constellation",Chinese,see ASE,2026/03/22,,,76.36526836,-22.37103449,3.18
Bade,"1,717",HR 1702,24305,μ Lep,Bade,Lep,"Bade, the Funeral Tower, is an Oceanic constellation name from Bali (Indonesia).",Balinese,see ASE,2026/03/22,,,78.23292902,-16.2054635,3.29
Darlugal,"2,014",HR 1998,27288,ζ Lep,Darlugal,Lep,"Derived from Sumerian DAR.LUGAL, The Rooster, an animal first domesticated in China and India, and archaeologically attested in West Asia only since the 2nd millennium BCE for cockfights.",Sumerian,see ASE,2026/03/22,,,86.73892235,-14.82195016,3.525
Udang,"8,060",HR 8075,104139,θ Cap,Udang,Cap,"Udang, ""the Shrimp"", is an Oceanic name from Bali (Indonesia). It is anchored in the cultural calendar called ""Palelintangan"" which is attested for ~1300 years. Particularly whiteleg and tiger shrimp are leading fishery commodity in Bali with significant economic potential.",Balinese,see ASE,2026/02/22,,,316.4867853,-17.23286284,4.07
Gaja,"1,533",HR 1497,21881,τ Tau,Gaja,Tau,"The term ""gaja"" (गज) in Sanskrit means ""elephant"". Yet, the constellation ""Gaja(h)"" is not known in India but only in Indonesia. There it is attested in the cultural calendar called Palelintangan where it is found in the intersection between Sunday and the second day of a five-day cycle.",Sanskrit,see ASE,2026/02/22,,,70.56124685,22.95690281,4.26
Naga,"5,030",HR 5020,64962,γ Hya,Naga,Hya,"Sanskrit नाग, nāgá, means “large snake” or ""serpent"". Languages like Iban, Indonesian, Italian, Javanese, Malay, Marano, Portuguese, Tagalog and Yakan borrow the term; Japanese ""naga"" means ""long""; German ""Nagel"" (nail) and English ""naked"" are derived from homophonous Sanskrit ""nāga"" for gold/ iron/ metal.",Sanskrit,see ASE,2026/02/22,,,199.730407,-23.17151401,3
Yuyu,"3,463",HR 3475,43103,ι Cnc,Yuyu,Cnc,"Yuyu is a word from Javanese, inherited from Old Javanese ""hayuyu"", spoken on the island of Java, Indonesia. It means ""freshwater crab"". The animal can be found in rice fields in Indonesia and the constellation is attested for at least 1300 years.",Javanese,see ASE,2026/02/22,,,131.6742518,28.75989314,4.02
Lumbung,"4,837",HR 4823,61966,39 Cru,Lumbung,Cru,"The term ""Lumbung"" is inherited from Malay, Proto-Malayo-Polynesian, designating a quickly set up rice barn or granary. The constellation of Lumbung is attested for ~1300 years in the cultural calendar and associated with Wednesday and the third day of an Oceanic market cycle.",Malay,see ASE,2026/02/22,,,190.4857049,-59.68582068,4.94
Tonglingxing,"2,616",HR 2527,33694,,Tonglingxing,Cam,"Tóng Líng (Phoenix Tree Mound, 桐陵) is a traditional Chinese star name at the right wall of the Purple Palace constellation, rarely used, but ~2000 years old. WGSN uses ""Tonglingxing"" to avoid confusion with an asteroid name.",Chinese,see ASE,2026/02/22,,,105.0168216,76.97740862,4.54
Shangwei,"2,265",HR 2209,29997,,Shangwei,Cam,"Shàng Wèi (The Great Imperial Guard, 上衛) is the name of the fifth star on the right wall and the sixth star on the left wall of the Zǐ Gōng (Purple Palace, 紫宮) / Zǐwēi Yuán (Purple Forbidden Enclosure, 紫微垣), counting northward from the southern gate. Its corresponding star has changed many times throughout history.",Chinese,see ASE,2025/12/25,,,94.71157297,69.31981424,4.757
Shangcheng,997,HR 932,14862,,Shangcheng,Cas,"Shàng Chéng (The Great Imperial Minister, 上丞) and Shào Chéng (The Second Imperial Minister, 少丞) are the two stars located to the left and right of the northern gate of the Zǐ Gōng (Purple Palace) / Zǐwēi Yuán (Purple Enclosure).",Chinese,see ASE,2025/12/25,,,47.98445484,74.3936583,4.834
Shaowei,"1,234",HR 1148,17959,γ Cam,Shaowei,Cam,"Shào Wèi (The Second Imperial Guard, 少衛) is the sixth star on the right wall of the Zǐ Gōng (Purple Palace, 紫宮) or Zǐwēi Yuán (Purple Forbidden Enclosure), counting northward from the southern gate. Although its identification has varied across historical sources, all recorded versions consistently place it within the modern constellation Camelopardalis.",Chinese,see ASE,2025/12/25,,,57.58962223,71.33226611,4.604
Kamelos,"2,457",HR 2363,31940,,Kamelos,Cam,"""Kamelos"" is Greek for camel, a pun with the name of the constellation ""Camelopardalis"" whose Latin term is a Greek loanword, literally meaning ""checkered camel"" = giraffe. On this base, Jacob Bartsch proposed 1624 ""Camelus Rebeccae"" as an alternative name for the constellation Camelopardalis, a reference to the story of Abraham's daughter-in-law, Rebecca.",Greek,see ASE,2025/12/25,,,100.1203209,77.99578275,5.72
Custos,"1,226",HR 1155,17884,BE Cam,Custos,Cam,"Custos Messium, the Harvest Keeper, was a constellation invented in Early Modern Time by the French astronomer Joseph Jérôme de Lalande (1732–1807) who might have punned with the name of his compatriot Charles Messier. Some European astronomers copied and translated it, though. The constellation became obsolete in the depolitisation of the IAU-sky and WGSN only resembles the Keeper, Custos.",Latin,see ASE,2025/12/25,,,57.38032312,65.5259794,4.48
Huagai,765,HR 707,11569,ι Cas,Huagai,Cas,"Huá Gài (Canopy of the Emperor, 華蓋) is a Chinese asterism consisting of sixteen stars, divided into two parts: seven stars forming the Huá Gài (“Canopy”) proper and nine forming the Gàng (“Shaft”). The asterism originated within the Gan school during the Han dynasty, around the first century BCE.",Chinese,see ASE,2025/12/25,,,37.26632087,67.4023867,4.61
Gang,641,HR 580,9598,50 Cas,Gang,Cas,"Gàng (“Shaft”) forms part of the ancient Chinese asterism of Huá Gài (Canopy of the Emperor, 華蓋). Allen (1899) mentions the term as a star name in Cam but WGSN places it in a correcter position.",Chinese,see ASE,2025/12/25,,,30.85878517,72.42129412,3.938
Rangifer,654,HR 592,9763,49 Cas,Rangifer,Cas,"Rangifer, the Reindeer, is an extinct constellation first introduced by Pierre-Charles Le Monnier in 1743 in the book La Théorie des Comètes. He aimed to resemble an Indigenous constellation of the Sami people in Northern Scandinavia, where he had travelled to on a geodetic expedition.",Latin,see ASE,2025/12/25,,,31.38145888,76.11506012,5.22
Tarandus,360,HR 285,5372,2 UMi,Tarandus,Cep,"Tarandus is an alternative name for the Early Modern European constellation ""Rangifer"", the Reindeer, from Greek τάρανδος (reindeer), Latinised by Carl Linnaeus 1758 ""Cervus Tarandus"" for a species, Jamieson 1822 used ""Rangifer tarandus"" for the reindeer in the sky.",Latin,see ASE,2025/12/25,,,17.18699431,86.25709067,4.225
Sarvvis,"1,167",HR 1122,17358,δ Per,Sarvvis,Per,"Sarvvis, the reindeer or moose (bull), is an Indigenous constellation, used by the Sami people of northern Scandinavia.",Sami,see ASE,2025/12/25,,,55.73122002,47.78749674,3.01
Áldu,"1,268",HR 1220,18532,ϵ Per,Aldu,Per,"Áldu, the Reindeer Cow, in Sami language. The Sami constellation of the reindeer is usually called with the male term ""Sarvvis"", but mythology reports it keeping its antlers during winter, which only females do.",Sami,see ASE,2025/12/25,,,59.46349742,40.01019978,2.89
Cexing,169,HR 130,2599,κ Cas,Cexing,Cas,"Cè (Whip, 策) is an ancient Chinese star name representing the horsewhip, located beside the asterism Wangliang (王良) and closely associated with both Wangliang (王良) and Tiansi (天駟). It belongs to the Gān school. ""Xing"" means star. The ancients sometimes also call it Cexing (whip star) or Tiance (celestial whip). In modern and postmodern literature in English, the name is occasionally used for γ Cas but this is a late shift, only attested from the 18th century onwards when the Chinese uranography was reworked under Jesuit influence. WGSN corrects the adoption to the Indigenous version.",Chinese,see ASE,2025/11/13,,,8.249966182,62.93178142,4.16
Tiansi,299,HR 264,4427,γ Cas,Tiansi,Cas,"Tiān Sì (Heavenly Quadriga, 天駟) is an old Chinese asterism, attested for at least 2000 years. It comprises four of the five stars forming the constellation Wangliang (王良) and represents the four horses pulling the chariot. It may thus be regarded as a constituent sub-constellation/asterism of Wangliang (王良). In the literature in English, the name ""Ce"" (old spelling: Tsih) can be found; WGSN corrects this misapplication of an old star name.",Chinese,see ASE,2025/11/13,,,14.17721289,60.71674002,2.39
Bagu,"2,113",HR 2077,28358,δ Aur,Bagu,Aur,"Bā Gǔ (Eight Kinds of Crops, 八穀) is a Chinese constellation consisting of eight stars located within the constellations Lynx, Auriga, and Camelopardalis. It refers to land management officials in charge of rice, millet, barley, wheat, soybean, bean, chestnut, and hemp. It belongs to the asterisms introduced by Gan De and originated during the Han dynasty (roughly 2000 years ago).",Chinese,see ASE,2025/11/13,,,89.88174341,54.28473796,3.72
Apdu,711,HR 664,10670,γ Tri,Apdu,Tri,"Apd(w), ȝpd, The Bird, is an ancient Egyptian constellation from the second millennium BCE; the language is moribunt. There are at least 21 spelling variants throughout the millennia in hierglyphs, and it is probably not any specific bird; might be a goose or falcon or something else. Four star names within the constellation are attested in Ramesside Star Clocks and identified with the area between α, β Per and all of Triangulum. WGSN adopts the name of the constellation for any unspecific spot within its area to preserve an old Egyptian cultural name.",Egyptian,see ASE,2025/11/13,,,34.32861364,33.84719682,4
Alaybasan,669,HR 622,10064,β Tri,Alaybasan,Tri,"Al-Aybasān (الأيبسان), the Two Joints (of bones), is an Indigenous Arabian asterism. Name variants are Al-Anīsān (الأنيسان) and Al-Baysan. The later spelling variant al-Anīsān that originated from a mistake changed the meaning, as it translates The Two Friends. WGSN adopts a spelling variant without hyphen: ""Alaybasan"" is the name for β Tri",Arabic,see ASE,2025/11/07,,,32.38594634,34.98729706,3
